timestep,robot_id,x,y,yaw
1856,khiv4,-1.27965,0.0325875,2.9221
1856,khiv5,-0.110712,2.04524,-0.938038
1856,khiv6,-1.61315,1.73486,0.876484
1856,khiv7,-1.49079,1.84985,0.809792
1856,khiv8,-0.447004,0.189605,-2.63955
1856,khiv9,-0.699119,0.0753491,-2.77203
1857,khiv0,-1.89291,1.01806,1.37538
1857,khiv1,-0.0782678,1.32953,-2.45632
1857,khiv10,-1.17221,2.05828,0.530733
1857,khiv11,-0.568805,2.20422,0.00223765
1857,khiv12,-0.246815,0.321259,-2.37277
1857,khiv13,0.0769919,1.72822,-1.2955
1857,khiv14,-1.92486,0.88084,1.53537
1857,khiv15,-0.442316,2.26595,-0.368024
1857,khiv16,-1.77738,1.52207,1.03905
1857,khiv17,-0.198744,1.25674,-2.71418
1857,khiv18,-1.62422,0.172318,2.43488
1857,khiv19,-1.96436,1.13926,1.28368
1857,khiv2,0.023981,1.44509,-2.21475
1857,khiv20,-1.90634,1.27426,1.28022
1857,khiv21,-0.0592586,0.48607,-2.2878
1857,khiv22,0.19766,0.902882,-2.01397
1857,khiv23,-0.973579,0.0201614,-3.02031
1857,khiv24,-1.74993,0.311816,2.15747
1857,khiv25,-1.89404,0.583579,1.78891
1857,khiv26,-1.35195,1.95492,0.713787
1857,khiv27,-0.62552,0.190466,-2.77093
1857,khiv28,-0.252039,2.17225,-0.612661
1857,khiv29,-0.765842,2.21614,0.242952
1857,khiv3,-0.334014,1.21781,0.421135
1857,khiv4,-1.28462,0.0337234,2.85948
1857,khiv5,-0.107199,2.0405,-0.894395
1857,khiv6,-1.6094,1.73941,0.920127
1857,khiv7,-1.48725,1.85352,0.747174
1857,khiv8,-0.45216,0.186739,-2.5959
1857,khiv9,-0.703884,0.0735316,-2.83465
1858,khiv0,-1.89187,1.02304,1.31276
1858,khiv1,-0.08211,1.32627,-2.41267
1858,khiv10,-1.1678,2.06084,0.468114
1858,khiv11,-0.563261,2.20384,0.0458809
1858,khiv12,-0.250503,0.317738,-2.43539
1858,khiv13,0.0785975,1.72244,-1.23858
1858,khiv14,-1.92464,0.885935,1.47275
1858,khiv15,-0.43623,2.26445,-0.32438
1858,khiv16,-1.77441,1.52717,1.08269
1858,khiv17,-0.203317,1.25472,-2.77679
1858,khiv18,-1.62876,0.176234,2.49181
1858,khiv19,-1.96265,1.14501,1.3406
1858,khiv2,0.0204701,1.44035,-2.17111
1858,khiv20,-1.90485,1.27914,1.2176
1858,khiv21,-0.06252,0.482281,-2.36371
1858,khiv22,0.195159,0.89754,-1.97032
1858,khiv23,-0.978644,0.0195704,-3.08293
1858,khiv24,-1.75322,0.316711,2.20112
1858,khiv25,-1.89535,0.589331,1.83256
1858,khiv26,-1.34807,1.95823,0.651168
1858,khiv27,-0.631092,0.188536,-2.714
1858,khiv28,-0.247195,2.16889,-0.569017
1858,khiv29,-0.760997,2.21737,0.167051
1858,khiv3,-0.338746,1.21634,0.478061
1858,khiv4,-1.29029,0.0353355,2.90313
1858,khiv5,-0.104027,2.03651,-0.957013
1858,khiv6,-1.60629,1.74345,0.857509
1858,khiv7,-1.48294,1.85755,0.790817
1858,khiv8,-0.457301,0.183648,-2.53898
1858,khiv9,-0.709499,0.0717098,-2.79101
1859,khiv0,-1.89039,1.02865,1.3564
1859,khiv1,-0.0858536,1.32295,-2.47529
1859,khiv10,-1.16255,2.06353,0.511758
1859,khiv11,-0.558205,2.204,-0.0167377
1859,khiv12,-0.254286,0.31447,-2.51129
1859,khiv13,0.0802283,1.71761,-1.30119
1859,khiv14,-1.92418,0.890913,1.39685
1859,khiv15,-0.430348,2.26285,-0.386999
1859,khiv16,-1.772,1.53166,1.02007
